City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,27.58,73,21,2.78,MV,1675880501
1,thinadhoo,0.5333,72.9333,27.54,72,41,3.84,MV,1675880502
2,cape town,-33.9258,18.4232,23.84,62,0,5.36,ZA,1675880258
3,rikitea,-23.1203,-134.9692,26.25,75,5,6.29,PF,1675880502
4,chernyakhiv,50.4565,28.6702,-10.18,93,7,0.78,UA,1675880502
5,new norfolk,-42.7826,147.0587,13.72,94,100,0.86,AU,1675880266
6,klaksvik,62.2266,-6.589,1.51,61,76,14.72,FO,1675880376
7,long beach,33.767,-118.1892,22.19,40,0,0.89,US,1675880316
8,punta arenas,-53.15,-70.9167,22.01,60,100,7.72,CL,1675880504
9,albany,42.6001,-73.9662,7.58,55,61,1.79,US,1675880505
10,tuktoyaktuk,69.4541,-133.0374,-36.0,75,20,2.06,CA,1675880217
11,ancud,-41.8697,-73.8203,18.56,71,5,4.22,CL,1675880506
12,nikolskoye,59.7035,30.7861,1.94,94,100,2.98,RU,1675880262
13,thompson,55.7435,-97.8558,-8.91,86,40,1.54,CA,1675880506
14,pokrovsk,48.282,37.1758,-7.48,88,6,5.75,UA,1675880506
15,tarauaca,-8.1614,-70.7656,27.45,84,29,1.65,BR,1675880507
16,busselton,-33.65,115.3333,15.4,88,0,5.07,AU,1675880507
17,curup,-3.4667,102.5333,18.87,94,96,0.72,ID,1675880508
18,sosnovo-ozerskoye,52.5249,111.5418,-24.31,100,87,1.17,RU,1675880508
19,laem sing,12.4816,102.0738,29.52,83,11,2.15,TH,1675880509
20,novyy urgal,51.0736,132.5642,-37.52,99,47,0.62,RU,1675880509
21,ushuaia,-54.8,-68.3,21.81,40,75,4.63,AR,1675880510
22,aquiraz,-3.9014,-38.3911,29.05,65,42,4.98,BR,1675880510
23,castro,-24.7911,-50.0119,26.35,49,15,2.35,BR,1675880089
24,amarpur,25.0333,86.9,17.22,57,0,2.55,IN,1675880510
25,marystown,47.1666,-55.1483,-1.36,88,100,5.99,CA,1675880511
26,qaanaaq,77.484,-69.3632,-32.45,68,16,2.79,GL,1675880340
27,lagoa,39.05,-27.9833,13.63,58,95,6.08,PT,1675880511
28,arraial do cabo,-22.9661,-42.0278,28.98,74,20,4.12,BR,1675880512
29,chuy,-33.6971,-53.4616,26.19,64,52,4.41,UY,1675880512
30,biskamzha,53.4497,89.5272,-17.47,99,98,0.49,RU,1675880513
31,kapaa,22.0752,-159.319,24.18,79,20,9.26,US,1675880514
32,avarua,-21.2078,-159.775,26.03,89,40,2.06,CK,1675880514
33,arman,59.7,150.1667,-28.45,85,64,3.99,RU,1675880514
34,cherskiy,68.75,161.3,-31.18,98,100,3.43,RU,1675880515
35,ahuimanu,21.4447,-157.8378,23.84,72,40,8.23,US,1675880515
36,longyearbyen,78.2186,15.6401,-4.09,86,75,6.69,SJ,1675880516
37,saint-philippe,-21.3585,55.7679,25.77,83,56,5.34,RE,1675880516
38,yar-sale,66.8333,70.8333,-10.48,95,99,5.46,RU,1675880517
39,gravdal,68.1214,13.5031,5.94,93,100,20.58,NO,1675880517
40,puerto ayora,-0.7393,-90.3518,29.98,89,85,4.47,EC,1675880517
41,hobart,-42.8794,147.3294,13.92,84,100,2.57,AU,1675880218
42,cavalcante,-13.7975,-47.4583,29.18,47,51,1.61,BR,1675880518
43,caborca,30.5838,-111.101,14.17,23,46,1.67,MX,1675880518
44,kavieng,-2.5744,150.7967,27.04,78,100,3.96,PG,1675880519
45,luangwa,-15.6167,30.4167,23.8,86,57,1.36,ZM,1675880519
46,mason city,43.1536,-93.201,3.94,77,0,4.12,US,1675880239
47,narsaq,60.9167,-46.05,-12.88,93,100,4.85,GL,1675880520
48,phayakkhaphum phisai,15.5163,103.1937,30.09,46,47,2.49,TH,1675880520
49,chippewa falls,44.9369,-91.3929,4.43,72,0,2.57,US,1675880402
50,saint-leu,-21.15,55.2833,25.48,78,34,3.7,RE,1675880521
51,ambilobe,-13.2,49.05,23.15,95,96,0.8,MG,1675880521
52,bredasdorp,-34.5322,20.0403,20.41,72,1,7.55,ZA,1675880452
53,san vicente,-26.6167,-54.1333,35.33,18,2,1.9,AR,1675880522
54,rancho palos verdes,33.7445,-118.387,20.77,43,0,1.34,US,1675880459
55,rio claro,-22.4114,-47.5614,27.49,63,59,2.51,BR,1675880523
56,butaritari,3.0707,172.7902,26.81,83,84,9.5,KI,1675880524
